編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
267,中科三,機器學習,-,結構化預測,Structured Prediction,-,FALSE,處理具依賴性的輸出,標籤間空間/時間關聯,輸出不再是單一類別，而是具有內部結構的對象（如樹狀圖、序列）。,語法解析、影像分割,將句子解析為語法結構樹，或識別影像中物件的邊界 。,,,,,,,
268,中科三,數據準備,公平性,合成少數類過採樣技術,Synthetic Minority Over-sampling Technique,SMOTE,FALSE,解決資料不平衡,內插法生成新樣本,在特徵空間中，透過現有少數類樣本間的連線插值產生新樣本的技術 。,提升少數類別辨識率,信用卡盜刷檢測中，生成虛構的盜刷樣本以平衡數據。,,,,,金融科技：信用卡盜刷風險即時偵測、異常交易攔截（核心場景）,智慧零售：電商平台異常退款/刷卡詐欺偵測,
269,中科三,模型評估,透明與可解釋,夏普利加性解釋,Shapley Additive Explanations,SHAP,FALSE,解釋單一特徵貢獻,博弈論分配價值,基於博弈論方法，計算每個特徵對模型預測結果的邊際貢獻度。,產出特徵重要性排名,解釋為何某筆貸款申請被 AI 拒絕，列出各項權重因素。,,,,,,,
270,中科一,應用開發,永續發展與福祉,基於感測器的決策,Sensor-based Decision,-,FALSE,實現環境感知自動化,多感測器數據融合,系統依據感測器採集的物理數據（如溫壓、影像）自動觸發特定動作的流程。,工業 4.0 智慧製造,偵測到設備溫度過高時，AI 自動下達降速或停機指令 。,,,,,,,
271,初科二,生成式 AI,永續發展與福祉,氣氛程式碼,Vibe Coding,-,FALSE,降低編程門檻,自然語言描述邏輯,描述對程式「感覺」或功能的抽象需求，由 AI 自動生成底層程式碼的開發模式。,快速原型開發,使用者描述「我要一個看起來很專業的理財 App」，AI 生成前端框架。,,,,,,,
272,中科一,系統部署,永續發展與福祉,具身智能,Embodied AI,-,FALSE,物理世界互動,智能體與環境閉環,賦予 AI 物理身體（如機器人、無人機），使其能在真實世界中感知並行動。,智慧物流、家用機器人,AI 機器人能自主在倉庫中避開障礙物並搬運貨物。,,,,,,,
273,中科一,系統部署,隱私保護,裝置端推論,On-device Inference,-,FALSE,降低延遲與保護隱私,本地端運算晶片,直接在手機或邊緣設備上運行 AI 推論，不需上傳數據到雲端 。,即時翻譯、人臉解鎖,在無網路環境下進行手機語音辨識。,,畜牧管理：牛隻個體臉部識別追蹤（乳牛個體健康管理）,自駕與輔助：疲勞駕駛臉部特徵偵測（眼皮閉合角度）,製程優化：廠區人員身份核驗，防止未授權進入,金融科技：ATM/網銀人臉身份核實；健康管家：情緒健康狀態辨識,智慧零售：販賣機顧客年齡/性別分析精準推薦,公共安全：協尋失蹤/通緝人員特徵比對；刑事案件追查
274,中科一,生成式 AI,永續發展與福祉,長上下文處理,Long Context Handling,-,FALSE,處理海量輸入資訊,窗口擴展與壓縮技術,讓模型能一次性理解並分析極長文本（如整本書或萬行代碼）的能力 。,法律文件分析,將 50 份相關合約一次丟給 AI 進行共通條款對比。,,,,,,,
275,中科三,數據準備,公平性,資料不平衡,Data Imbalance,-,FALSE,診斷樣本偏差,類別比例嚴重失調,訓練數據中某一類別（如正常件）遠多於另一類（如瑕疵件）的現象 。,模型效能診斷,發現 AI 總是預測「沒病」，是因為訓練集 99% 都是健康者。,,,,,,,
276,中科一,生成式 AI,永續發展與福祉,世界模型,World Models,-,FALSE,模擬物理規律,環境動力學預測,AI 內部構建的對現實世界的模擬，能預測環境對特定行為的反應。,自動駕駛、強化學習,自動駕駛 AI 在虛擬環境中預測如果轉向，前方路況會如何變化。,環境監控：氣象感測站最優部署策略學習,智慧耕作：無人機施肥/灌溉最優決策學習,智慧交通：動態紅綠燈排程最優化；自駕公車路徑決策學習；配送路徑實時優化,製程優化：排程任務分配強化學習；機械手臂操作策略自動優化,金融科技：量化交易策略強化學習優化,智慧生活：個人化推薦動態策略強化學習,智慧消防：救災機器人路徑規劃強化學習
277,中科一,系統優化,永續發展與福祉,Groq 處理器,Groq,-,FALSE,突破推論速度極限,LPU 線性處理器架構,專為 LLM 推論設計的新型處理器，強調極低延遲與極高吞吐量。,即時語音互動,實現無延遲的 AI 真人語音對話服務。,,,,,,,
278,中科一,應用平台,永續發展與福祉,空間 / 畫布模式,Spaces,-,FALSE,提升協作體驗,視覺化操作介面,提供一個可自由配置 AI 代理人、數據與工具的視覺化工作環境。,專案團隊協作,多人共同在一個 AI 畫布上進行腦力激盪與生成報告。,,,,,,,
279,中科二,大數據架構,永續發展與福祉,Lambda 架構,Lambda Architecture,-,FALSE,平衡精準度與速度,批次處理 + 串流處理,結合 Batch Layer（處理歷史數據）與 Speed Layer（處理即時數據）的數據架構。,數位廣告點擊分析,既要精準結算昨日帳單，也要即時更新今日點擊熱度。,,,,,,,
280,中科二,大數據架構,永續發展與福祉,Kappa 架構,Kappa Architecture,-,FALSE,簡化數據管線,全串流處理 (Stream-only),移除批次層，所有資料皆視為串流，透過單一處理引擎完成歷史與即時分析。,即時金融欺詐監控,所有的交易行為皆即時通過串流引擎進行規則判斷。,,,,,,,
281,中科二,大數據架構,永續發展與福祉,資料管線,Data Pipeline,-,FALSE,實現自動化資料流,ETL 流程自動化,數據從來源端經過清洗、轉換到儲存端的一系列自動化步驟。,企業數據中台,自動將每日銷售數據從各分店 POS 系統導向總部資料庫。,,,,,,,
282,中科二,軟體工程,永續發展與福祉,面向數據設計,Data-Oriented,-,FALSE,優化快取命中率,資料連續存儲 layout,以數據如何被存取與處理為核心，而非以物件結構為核心的開發範式。,高效能 AI 引擎開發,優化記憶體排列以加速大規模矩陣運算。,,,,,,,
283,中科二,數據處理,永續發展與福祉,異動資料擷取,Change Data Capture,CDC,FALSE,實現即時數據同步,監控資料庫日誌變更,偵測並擷取資料庫中異動（增、刪、改）的部分，將其同步至其他系統。,即時數據備份與整合,讓資料倉儲與正式營運資料庫保持秒級同步。,,,,,,,
284,中科二,數據儲存,永續發展與福祉,水平擴展,Scale-out / Horizontal Scaling,-,FALSE,處理海量數據與併發,增加節點數量,透過增加更多伺服器節點來提升系統整體的儲存或計算能力 。,雲端彈性部署,雙 11 期間增加伺服器數量以應對爆量流量。,,,,,,,
285,中科二,數據儲存,永續發展與福祉,垂直擴展,Scale-up / Vertical Scaling,-,FALSE,提升單體效能,提升單機硬體配置,透過升級單一伺服器的 CPU、RAM 或 GPU 來提升性能。,初期開發環境升級,訓練模型時發現記憶體不足，將單機顯存從 24G 升級至 80G。,,,,,,,
286,中科二,數據儲存,永續發展與福祉,列式儲存,Columnar Storage,-,FALSE,加速分析查詢,數據按欄而非按列存放,將同一欄位的數據儲存在連續空間，適合進行大規模的數據聚合運算。,資料倉儲 (BigQuery),僅讀取「銷售額」欄位進行加總，無需讀取整行其他無關資料。,,,,,,,
287,中科二,數據儲存,永續發展與福祉,資料市集,Data Mart,-,FALSE,滿足特定部門需求,資料倉儲的子集,為特定業務部門（如行銷部、財務部）設計的小型主題式數據儲存區。,業務報表分析,行銷人員從市集中快速抓取顧客點擊數據，無需進入龐大的總資料庫。,,,,,,,
288,中科二,數據管理,永續發展與福祉,資料分層儲存,Data Tiering,-,FALSE,降低儲存成本,熱 / 溫 / 冷資料分類,根據存取頻率將數據存放在不同效能與成本的硬碟（如 SSD 或雲端歸檔）。,法規合規與審計,常用數據放 SSD，五年前的交易日誌存入低成本的冷存儲。,,,,,,,
289,中科二,大數據處理,永續發展與福祉,-,MapReduce,-,FALSE,分散式大規模運算,映射 (Map) 與 歸約 (Reduce),將任務拆解後在多台電腦同步運算，再彙整結果的計算框架。,大規模文字檢索,在數百億個網頁中統計每個字出現的頻率。,,,,,,,
290,中科二,大數據處理,永續發展與福祉,彈性分散式資料集,Resilient Distributed Datasets,RDD,FALSE,提升記憶體計算效率,記憶體內、不可變分佈數據,Spark 的核心概念，是一種可跨集群分佈並具備容錯能力的數據集合。,疊代式機器學習訓練,將中間計算結果留在記憶體，避免頻繁讀寫硬碟加速訓練。,,,,,,,
291,中科二,運算架構,永續發展與福祉,節點 / 集群,Node / Cluster,-,FALSE,構建分散式系統,單機 (Node) 與 集合 (Cluster),節點是單一計算設備，集群是由多個節點組成的運算群組。,分散式模型訓練,使用包含 8 台 A100 伺服器（節點）的集群進行模型微調。,,,,,,,
292,中科二,統計基礎,透明與可解釋,中央極限定理,Central Limit Theorem,CLT,FALSE,支撐假設檢定基礎,樣本平均數趨向常態分佈,指出無論母體分佈為何，樣本數夠大時，樣本平均數的分佈會接近常態分佈 。,區間估計與檢定,利用常態分佈特性對產品合格率進行抽樣估計。,,,,,,,
293,中科二,統計推論,問責,第一型錯誤 (Alpha),Type I Error,α,FALSE,衡量誤報風險,棄真 (拒絕正確的虛無假設),在虛無假設為真時，卻錯誤地拒絕了它（如：沒病判成有病）。,醫學診斷檢測,確保癌症篩檢的偽陽性率（False Positive）在可控範圍內。,,,,,,,
294,中科二,統計推論,問責,第二型錯誤 (Beta),Type II Error,β,FALSE,降低漏報風險,納偽 (接受錯誤的虛無假設),在虛無假設為假時，卻錯誤地接受了它（如：有病判成沒病）。,衡量檢定力 (Power),確保癌症篩檢不會漏掉真正的患者。,,,,,,,
295,中科二,統計推論,透明與可解釋,顯著水準,Significance Level,α,FALSE,設定決策門檻,拒絕域機率值,在假設檢定中，預先設定拒絕虛無假設的門檻機率（通常為 0.05）。,判定結果是否具統計顯著性,判斷新舊演算法的點擊率差異是否非隨機發生。,,,,,,,
296,中科三,數據準備,永續發展與福祉,特徵縮放,Feature Scaling,-,FALSE,消除量綱影響,歸一化或標準化 (0-1 / Z-score),將不同範圍的特徵數值調整到統一區間，避免特定特徵主導模型訓練。,加速梯度下降收斂,將「年收(萬元)」與「年齡(歲)」調整到相同數值級別。,,,,,,,
297,中科三,數據準備,-,獨熱編碼,One-Hot Encoding,-,FALSE,處理類別型數據,N 位狀態寄存器編碼,將類別特徵轉換為二進制向量，避免模型誤認類別間有大小順序關係。,讓機器理解文字標籤,"將「紅、藍、綠」轉化為 [1,0,0]、[0,1,0]、[0,0,1]。",,,,,,,
298,中科三,數據準備,-,標籤編碼,Label Encoding,-,FALSE,處理有序類別數據,數值映射賦值,"將類別轉換為整數（如 0, 1, 2）。",節省空間並保留順序感,"將「小、中、大」編碼為 1, 2, 3。",,,,,,,
299,中科三,模型評估,透明與可解釋,均方誤差,Mean Squared Error,MSE,FALSE,衡量預測準確度,誤差平方的平均值,預測值與真實值之差的平方和的平均值。,迴歸問題的損失函數,房價預測模型中衡量估值與實際成交價的偏差。,,,,,,,
300,中科三,模型評估,透明與可解釋,受試者工作特徵曲線,Receiver Operating Characteristic,ROC,FALSE,評估分類器性能,真陽率與偽陽率的權衡,描述在不同門檻下，模型分類能力的曲線，曲線下面積（AUC）越大越好。,比較不同分類模型優劣,選擇一個對違禁品偵測最敏感的模型。,,,,,,,
301,中科二,數據管理,問責,資料血緣,Data Lineage,-,FALSE,實現數據追蹤,數據生命週期生命路徑圖,記錄數據從產生、轉換、移動到最終使用的完整流向與變化歷史。,故障診斷與合規審計,發現報表數據錯誤時，回溯是哪一個清洗步驟出了問題。,,,,,,,
302,中科二,數據管理,透明與可解釋,資料字典,Data Dictionary,-,FALSE,統一定義標準,元數據 (Metadata) 儲存庫,集中儲存數據項目的定義、格式、來源與業務意義的說明文檔。,促進團隊協作開發,確保工程師與分析師對「活躍用戶」的定義一致。,,,,,,,
